report_section,title,count,company,salary_currency,salary_min,salary_median,salary_max,work_mode,date,new_postings
top_titles,Administrative Assistant,7.0,,,,,,,,
top_titles,Learning &Amp; Development Specialist,4.0,,,,,,,,
top_titles,Quality Assurance Rater German (Germany),2.0,,,,,,,,
top_titles,Data Scientist,2.0,,,,,,,,
top_titles,Product,2.0,,,,,,,,
top_titles,Customer Success,2.0,,,,,,,,
top_titles,Web Designer,2.0,,,,,,,,
top_titles,Online Data Analyst Canada (French Language),1.0,,,,,,,,
top_titles,Online Data Analyst United States Spanish Speakers,1.0,,,,,,,,
top_titles,Online Data Analyst Canada,1.0,,,,,,,,
top_companies,,11.0,LawnStarter,,,,,,,
top_companies,,7.0,aramco,,,,,,,
top_companies,,5.0,TELUS Digital,,,,,,,
top_companies,,4.0,Lemon.io,,,,,,,
top_companies,,4.0,HealthCorps,,,,,,,
top_companies,,4.0,AHU Technologies,,,,,,,
top_companies,,2.0,Coalition Technologies,,,,,,,
top_companies,,2.0,A.Team,,,,,,,
top_companies,,2.0,Bask Health,,,,,,,
top_companies,,1.0,IAPWE,,,,,,,
salary_summary,Business Transformation,1.0,,USD,175000.0,200000.0,225000.0,,,
salary_summary,Tech Full Stack Rails Engineer,1.0,,USD,170000.0,185000.0,200000.0,,,
salary_summary,Of Sales,1.0,,USD,109000.0,168500.0,228000.0,,,
salary_summary,Ios Developer,1.0,,USD,60000.0,95000.0,130000.0,,,
salary_summary,Product Engineer (Belo Horizonte),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Product Engineer (Campinas),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Product Engineer (Florianópolis),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Product Engineer (Porto Alegre),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Product Engineer (São Paulo),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Software Engineer Product (Belo Horizonte),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Software Engineer Product (Campinas),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Software Engineer Product (Florianópolis),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Software Engineer Product (Porto Alegre),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Software Engineer Product (São Paulo),1.0,,USD,80000.0,90000.0,100000.0,,,
salary_summary,Director Of Revenue Systems And Ai Automation (Offshore),1.0,,USD,60000.0,66000.0,72000.0,,,
salary_summary,Inside Sales Contractor,1.0,,USD,25000.0,30000.0,35000.0,,,
salary_summary,Copywriter,1.0,,USD,20000.0,27500.0,35000.0,,,
salary_summary,Office Assistant,1.0,,USD,31.0,26015.5,52000.0,,,
salary_summary,Customer Operations & Writing Specialist,1.0,,USD,12000.0,12000.0,12000.0,,,
salary_summary,High Ticket Financial Sales Specialist & Team Track,1.0,,USD,3000.0,6500.0,10000.0,,,
salary_summary,Independent Ai Engineer Architect,1.0,,USD,120.0,145.0,170.0,,,
salary_summary,Independent Software Developer,1.0,,USD,90.0,120.0,150.0,,,
salary_summary,Freelance Writer,1.0,,USD,50.0,62.5,75.0,,,
salary_summary,Data Labeling Specialists,1.0,,USD,18.0,20.0,22.0,,,
remote_breakdown,,94.0,,,,,,on_site_or_unspecified,,
remote_breakdown,,18.0,,,,,,remote,,
new_postings_last_30_days,,,,,,,,,2026-06-10,29.0
